A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
,,-80.0,-79.0,-80.0,-78.0,,,-79,
,,-79.0,-80.0,-79.0,-76.0,,,-78,
,,-79.0,-79.0,-80.0,-74.0,,,-77,
,,,-80.0,-80.0,-73.0,,,-78,
,,,-74.0,-79.0,-76.0,,,-80,
,,,,-76.0,-75.0,,,-76,
,,,,,-79.0,,,-74,
,,,,,-79.0,,,-76,
,,,,,-80.0,,,-78,
,,,,,-78.0,,,-75,
,,,,,-79.0,,,-76,
,,,,,-80.0,,,-77,
,,,,,-78.0,,,-78,
,,,,,-69.0,,,-76,
,,,,,-68.0,,,-76,
,,,,,-74.0,,,-78,
,,,,,-76.0,,,-75,
,,,,,-66.0,,,-74,
,,,,,-78.0,,,-75,
,,,,,-66.0,,,-78,
,,,,,-67.0,,,-77,
,,,,,-75.0,,,-77,
,,,,,-76.0,,,-78,
,,,,,-79.0,,,-78,
,,,,,-65.0,,,-71,
,,,,,-61.0,,,-69,
,,,,,,,,-64,
