macModule,rssi,hourMinute
A8032A311FAA,-67,8h37
A8032A311FAA,-66,8h37
C45BBE39F9AE,-64,8h37
A8032A31204E,-69,8h38
C45BBE37B346,-79,8h38
A8032A31204E,-67,8h38
C45BBE386952,-79,8h38
C45BBE386952,-78,8h38
C45BBE39F56A,-66,8h38
C45BBE37B346,-60,8h38
C45BBE384CD2,-76,8h38
C45BBE39F56A,-69,8h38
C45BBE37B346,-78,8h38
C45BBE386952,-57,8h38
C45BBE386952,-62,8h38
C45BBE39F56A,-73,8h38
C45BBE37B346,-74,8h38
C45BBE37B346,-75,8h38
C45BBE386952,-63,8h38
C45BBE39F56A,-69,8h38
C45BBE386952,-63,8h39
C45BBE39F56A,-72,8h39
C45BBE37B346,-80,8h39
C45BBE37B346,-79,8h39
C45BBE386952,-70,8h39
C45BBE39F56A,-66,8h39
C45BBE37B346,-76,8h39
C45BBE386952,-68,8h39
C45BBE39F56A,-76,8h39
C45BBE39F56A,-75,8h39
C45BBE386952,-79,8h39
C45BBE386952,-75,8h39
C45BBE37B346,-78,8h39
C45BBE39F56A,-80,8h39
C45BBE37B346,-79,8h39
C45BBE386952,-78,8h39
C45BBE39F56A,-70,8h39
C45BBE37B346,-78,8h40
C45BBE386952,-69,8h40
C45BBE39F56A,-63,8h40
C45BBE37B346,-76,8h40
C45BBE386952,-65,8h40
C45BBE39F56A,-79,8h40
C45BBE39F56A,-63,8h40
C45BBE37B346,-74,8h40
C45BBE386952,-61,8h40
C45BBE39F56A,-65,8h40
C45BBE37B346,-79,8h40
C45BBE386952,-68,8h40
C45BBE37B346,-73,8h40
C45BBE386952,-61,8h40
C45BBE39F56A,-64,8h40
C45BBE39F56A,-62,8h40
C45BBE386952,-61,8h40
C45BBE37B346,-73,8h40
C45BBE386952,-61,8h41
C45BBE37B346,-72,8h41
C45BBE39F56A,-62,8h41
C45BBE386952,-69,8h41
C45BBE37B346,-72,8h41
C45BBE39F56A,-62,8h41
C45BBE37B346,-72,8h41
C45BBE39F56A,-62,8h41
C45BBE386952,-62,8h41
C45BBE386952,-62,8h41
C45BBE37B346,-73,8h41
C45BBE39F56A,-64,8h41
C45BBE37B346,-73,8h41
C45BBE39F56A,-64,8h41
C45BBE386952,-62,8h41
C45BBE386952,-62,8h41
C45BBE39F56A,-65,8h41
C45BBE37B346,-73,8h41
C45BBE37B346,-73,8h41
C45BBE39F56A,-63,8h42
C45BBE386952,-62,8h42
C45BBE386952,-63,8h42
C45BBE39F56A,-62,8h42
C45BBE37B346,-73,8h42
C45BBE386952,-63,8h42
C45BBE39F56A,-63,8h42
C45BBE37B346,-72,8h42
C45BBE39F56A,-62,8h42
C45BBE37B346,-73,8h42
C45BBE386952,-64,8h42
C45BBE37B346,-73,8h42
C45BBE39F56A,-62,8h42
C45BBE386952,-64,8h42
C45BBE386952,-63,8h42
C45BBE37B346,-74,8h42
C45BBE39F56A,-63,8h42
C45BBE386952,-62,8h43
C45BBE37B346,-75,8h43
C45BBE39F56A,-74,8h43
C45BBE37B346,-74,8h43
C45BBE39F56A,-75,8h43
C45BBE386952,-61,8h43
C45BBE386952,-61,8h43
C45BBE39F56A,-76,8h43
C45BBE37B346,-75,8h43
C45BBE386952,-61,8h43
C45BBE39F56A,-79,8h43
C45BBE37B346,-75,8h43
C45BBE386952,-62,8h43
C45BBE39F56A,-76,8h43
C45BBE37B346,-74,8h43
C45BBE39F56A,-77,8h43
C45BBE37B346,-75,8h43
C45BBE386952,-62,8h43
C45BBE37B346,-79,8h44
C45BBE386952,-62,8h44
C45BBE39F56A,-77,8h44
C45BBE384CD2,-77,8h44
C45BBE37B346,-74,8h44
C45BBE386952,-57,8h44
C45BBE39F56A,-66,8h44
C45BBE384CD2,-80,8h44
C45BBE386952,-65,8h44
C45BBE39F56A,-66,8h44
C45BBE39F56A,-59,8h44
C45BBE386952,-70,8h44
C45BBE384CD2,-80,8h44
C45BBE37B346,-75,8h44
C45BBE39F56A,-68,8h44
C45BBE386952,-65,8h44
C45BBE37B346,-80,8h44
C45BBE39F56A,-62,8h44
C45BBE386952,-63,8h44
C45BBE384CD2,-79,8h45
C45BBE39F56A,-69,8h45
C45BBE386952,-65,8h45
C45BBE37B346,-80,8h45
C45BBE39F56A,-70,8h45
C45BBE386952,-68,8h45
C45BBE386362,-74,8h45
C45BBE39F56A,-70,8h45
C45BBE386952,-69,8h45
C45BBE384CD2,-80,8h45
C45BBE39F56A,-70,8h45
C45BBE386362,-77,8h45
C45BBE386952,-61,8h45
C45BBE384CD2,-77,8h45
C45BBE37B346,-80,8h45
C45BBE39F56A,-70,8h45
C45BBE386362,-74,8h45
C45BBE386952,-63,8h45
C45BBE37B346,-77,8h45
C45BBE386952,-62,8h45
C45BBE386362,-76,8h45
C45BBE39F56A,-71,8h45
C45BBE384CD2,-80,8h45
C45BBE39F56A,-69,8h46
C45BBE386362,-76,8h46
C45BBE386952,-76,8h46
C45BBE384CD2,-80,8h46
C45BBE386362,-80,8h46
C45BBE386952,-67,8h46
C45BBE39F56A,-72,8h46
C45BBE386952,-80,8h46
C45BBE37B346,-78,8h46
C45BBE386362,-77,8h46
C45BBE39F56A,-70,8h46
C45BBE384CD2,-80,8h46
C45BBE386952,-58,8h46
C45BBE37B346,-79,8h46
C45BBE39F56A,-62,8h46
C45BBE37B346,-72,8h46
C45BBE39F56A,-63,8h46
C45BBE386952,-57,8h46
C45BBE386362,-79,8h46
C45BBE37B346,-77,8h46
C45BBE384CD2,-78,8h46
C45BBE39F56A,-64,8h46
C45BBE386952,-60,8h46
C45BBE384CD2,-79,8h46
C45BBE39F56A,-66,8h47
C45BBE386952,-55,8h47
C45BBE37B346,-78,8h47
C45BBE37B346,-77,8h47
C45BBE39F56A,-67,8h47
C45BBE386952,-55,8h47
C45BBE39F56A,-61,8h47
C45BBE384CD2,-79,8h47
C45BBE386952,-59,8h47
C45BBE37B346,-77,8h47
C45BBE384CD2,-77,8h47
C45BBE386952,-62,8h47
C45BBE37B346,-74,8h47
C45BBE39F56A,-66,8h47
C45BBE384CD2,-79,8h47
C45BBE386952,-58,8h47
C45BBE37B346,-79,8h47
C45BBE39F56A,-63,8h47
C45BBE39F56A,-58,8h47
C45BBE386952,-55,8h47
C45BBE37B346,-76,8h47
C45BBE384CD2,-80,8h47
C45BBE384CD2,-80,8h47
C45BBE39F56A,-59,8h48
C45BBE386952,-68,8h48
C45BBE37B346,-78,8h48
C45BBE384CD2,-80,8h48
C45BBE386952,-54,8h48
C45BBE39F56A,-61,8h48
C45BBE37B346,-77,8h48
C45BBE37B346,-80,8h48
C45BBE386952,-60,8h48
C45BBE39F56A,-63,8h48
C45BBE37B346,-80,8h48
C45BBE386952,-68,8h48
C45BBE39F56A,-63,8h48
C45BBE386952,-69,8h48
C45BBE39F56A,-63,8h48
C45BBE386952,-66,8h48
C45BBE39F56A,-65,8h48
C45BBE386952,-61,8h49
C45BBE39F56A,-64,8h49
C45BBE386952,-65,8h49
C45BBE386362,-76,8h49
C45BBE37B346,-79,8h49
C45BBE39F56A,-69,8h49
C45BBE384CD2,-74,8h49
C45BBE386952,-79,8h49
C45BBE39F56A,-71,8h49
C45BBE386952,-76,8h49
C45BBE39F56A,-78,8h49
C45BBE37B346,-79,8h49
C45BBE39F56A,-78,8h49
C45BBE386952,-75,8h49
C45BBE39F56A,-77,8h49
C45BBE386952,-67,8h49
C45BBE386362,-79,8h49
C45BBE386362,-80,8h49
C45BBE39F56A,-77,8h49
C45BBE386952,-66,8h50
C45BBE384CD2,-80,8h50
C45BBE386952,-78,8h50
C45BBE39F56A,-78,8h50
C45BBE386952,-66,8h50
C45BBE384CD2,-79,8h50
C45BBE39F56A,-75,8h50
C45BBE39F56A,-74,8h50
C45BBE384CD2,-80,8h50
C45BBE386362,-80,8h50
C45BBE386952,-76,8h50
C45BBE386362,-79,8h50
C45BBE37B346,-80,8h50
C45BBE386952,-74,8h50
C45BBE386952,-68,8h50
C45BBE39F56A,-75,8h50
C45BBE384CD2,-79,8h50
C45BBE39F56A,-78,8h50
C45BBE386952,-69,8h51
C45BBE386362,-80,8h51
C45BBE386952,-78,8h51
C45BBE39F56A,-76,8h51
C45BBE386952,-80,8h51
C45BBE39F56A,-76,8h51
C45BBE39F56A,-78,8h51
C45BBE386952,-79,8h51
C45BBE39F56A,-77,8h51
C45BBE386952,-78,8h51
C45BBE39F56A,-76,8h51
C45BBE39F56A,-75,8h52
C45BBE386952,-80,8h52
C45BBE386952,-79,8h52
C45BBE39F56A,-78,8h52
C45BBE386952,-79,8h52
C45BBE39F56A,-76,8h52
C45BBE39F56A,-74,8h52
C45BBE386952,-75,8h52
C45BBE39F56A,-76,8h52
C45BBE386952,-76,8h52
C45BBE39F56A,-80,8h52
C45BBE39F56A,-78,8h52
C45BBE386952,-73,8h53
C45BBE39F56A,-77,8h53
C45BBE386952,-74,8h53
C45BBE39F56A,-78,8h53
C45BBE386952,-76,8h53
C45BBE39F56A,-79,8h53
C45BBE386952,-78,8h53
C45BBE386952,-80,8h54
C45BBE37B346,-79,8h54
C45BBE386952,-76,8h54
C45BBE386362,-76,8h54
C45BBE39F56A,-76,8h54
C45BBE384CD2,-79,8h54
C45BBE384CD2,-80,8h54
C45BBE386952,-80,8h54
C45BBE39F56A,-80,8h54
C45BBE39F56A,-77,8h54
C45BBE386952,-78,8h54
C45BBE386952,-78,8h54
C45BBE39F56A,-79,8h55
C45BBE384CD2,-79,8h55
C45BBE39F56A,-80,8h55
C45BBE384CD2,-80,8h55
C45BBE386952,-77,8h55
C45BBE39F56A,-78,8h55
C45BBE386952,-79,8h55
C45BBE39F56A,-78,8h55
C45BBE39F56A,-80,8h55
C45BBE386952,-78,8h55
C45BBE39F56A,-77,8h55
C45BBE386952,-80,8h56
C45BBE39F56A,-76,8h56
C45BBE386952,-77,8h56
C45BBE39F56A,-80,8h56
C45BBE386952,-78,8h56
C45BBE39F56A,-78,8h56
C45BBE39F56A,-77,8h56
C45BBE386952,-80,8h56
C45BBE39F56A,-77,8h56
C45BBE386952,-78,8h56
C45BBE386952,-79,8h57
C45BBE39F56A,-78,8h57
C45BBE39F56A,-65,8h57
C45BBE386952,-79,8h57
C45BBE39F56A,-79,8h57
C45BBE39F56A,-80,8h57
C45BBE384CD2,-78,8h57
C45BBE386952,-78,8h57
C45BBE386952,-73,8h57
C45BBE39F56A,-79,8h57
C45BBE39F56A,-78,8h57
C45BBE386952,-78,8h57
C45BBE386952,-76,8h57
C45BBE39F56A,-78,8h58
C45BBE384CD2,-80,8h58
C45BBE39F56A,-78,8h58
C45BBE386952,-79,8h58
C45BBE39F56A,-79,8h58
C45BBE386952,-78,8h58
C45BBE39F56A,-80,8h58
C45BBE386952,-76,8h58
C45BBE384CD2,-79,8h58
C45BBE386952,-77,8h58
C45BBE384CD2,-77,8h58
C45BBE384CD2,-77,8h58
C45BBE386952,-77,8h58
C45BBE39F56A,-79,8h58
C45BBE386952,-75,8h59
C45BBE386952,-76,8h59
C45BBE386362,-75,8h59
C45BBE39F56A,-72,8h59
C45BBE384CD2,-71,8h59
C45BBE386362,-75,8h59
C45BBE386952,-75,8h59
C45BBE384CD2,-78,8h59
C45BBE39F56A,-79,8h59
C45BBE386952,-80,8h59
C45BBE384CD2,-79,8h59
C45BBE386362,-78,8h59
C45BBE386362,-79,8h59
C45BBE386952,-80,8h59
C45BBE384CD2,-80,9h0
C45BBE384CD2,-80,9h0
C45BBE386952,-80,9h0
C45BBE386952,-80,9h0
C45BBE39F56A,-80,9h0
C45BBE384CD2,-79,9h0
C45BBE384CD2,-79,9h0
C45BBE386362,-76,9h0
C45BBE384CD2,-78,9h0
C45BBE386952,-80,9h0
C45BBE39F56A,-80,9h1
C45BBE39F56A,-80,9h1
C45BBE384CD2,-80,9h1
C45BBE384CD2,-80,9h1
C45BBE384CD2,-80,9h1
C45BBE384CD2,-80,9h1
C45BBE39F56A,-78,9h2
C45BBE39F56A,-80,9h2
C45BBE39F56A,-79,9h2
C45BBE39F56A,-80,9h2
C45BBE39F56A,-80,9h2
C45BBE39F56A,-80,9h3
C45BBE39F56A,-80,9h3
C45BBE384CD2,-80,9h3
C45BBE384CD2,-79,9h3
C45BBE386362,-80,9h3
C45BBE384CD2,-79,9h3
C45BBE386362,-75,9h4
C45BBE384CD2,-77,9h4
C45BBE386362,-74,9h4
C45BBE384CD2,-71,9h4
C45BBE386952,-69,9h4
C45BBE39F56A,-67,9h4
C45BBE39F56A,-64,9h4
C45BBE386952,-47,9h4
C45BBE37B346,-69,9h4
C45BBE39F56A,-66,9h4
C45BBE386952,-59,9h4
C45BBE37B346,-72,9h4
C45BBE39F56A,-60,9h4
C45BBE386952,-60,9h4
C45BBE37B346,-73,9h4
C45BBE39F56A,-60,9h4
C45BBE386952,-75,9h4
C45BBE37B346,-66,9h4
