timestamp,macModule,rssi
2022-10-07 14:11:52.599,C45BBE37B346,-74
2022-10-07 14:11:51.799,C45BBE386952,-78
2022-10-07 14:11:51.165,C45BBE39F56A,-74
2022-10-07 14:11:50.623,C45BBE37B346,-57
2022-10-07 14:11:49.857,C45BBE386952,-79
2022-10-07 14:11:49.172,C45BBE39F56A,-69
2022-10-07 14:11:40.884,C45BBE37B346,-68
2022-10-07 14:11:40.289,C45BBE386952,-53
2022-10-07 14:11:39.441,C45BBE39F56A,-76
2022-10-07 14:11:32.265,C45BBE384CD2,-79
2022-10-07 14:11:30.739,C45BBE386952,-78
2022-10-07 14:11:30.300,C45BBE384CD2,-74
2022-10-07 14:11:29.603,C45BBE39F56A,-78
2022-10-07 14:11:20.728,C45BBE384CD2,-60
2022-10-07 14:11:13.601,C45BBE386952,-75
2022-10-07 14:11:09.201,C45BBE384CD2,-59
2022-10-07 14:11:02.245,C45BBE386952,-76
2022-10-07 14:10:59.687,C45BBE384CD2,-60
2022-10-07 14:10:52.663,C45BBE386952,-77
2022-10-07 14:10:50.187,C45BBE384CD2,-56
2022-10-07 14:10:38.560,C45BBE384CD2,-56
2022-10-07 14:10:30.846,C45BBE384CD2,-57
2022-10-07 14:10:19.302,C45BBE384CD2,-47
2022-10-07 14:10:07.840,C45BBE384CD2,-51
2022-10-07 14:10:00.192,C45BBE384CD2,-59
2022-10-07 14:09:50.668,C45BBE384CD2,-56
2022-10-07 14:09:47.857,C45BBE386952,-77
2022-10-07 14:09:39.284,C45BBE384CD2,-70
2022-10-07 14:09:29.736,C45BBE384CD2,-61
2022-10-07 14:09:21.035,C45BBE386952,-78
2022-10-07 14:09:20.109,C45BBE384CD2,-52
2022-10-07 14:09:14.884,C45BBE39F56A,-78
2022-10-07 14:09:10.520,C45BBE384CD2,-59
2022-10-07 14:09:07.095,C45BBE39F56A,-79
2022-10-07 14:09:05.763,C45BBE386952,-72
2022-10-07 14:09:01.058,C45BBE384CD2,-59
2022-10-07 14:08:54.278,C45BBE386952,-80
2022-10-07 14:08:49.567,C45BBE384CD2,-61
2022-10-07 14:08:40.008,C45BBE384CD2,-60
2022-10-07 14:08:33.158,C45BBE386952,-80
2022-10-07 14:08:30.489,C45BBE384CD2,-55
2022-10-07 14:08:20.918,C45BBE384CD2,-49
2022-10-07 14:08:10.571,C45BBE39F56A,-78
2022-10-07 14:08:09.508,C45BBE384CD2,-51
2022-10-07 14:08:00.799,C45BBE386952,-78
2022-10-07 14:07:59.982,C45BBE384CD2,-55
2022-10-07 14:07:50.458,C45BBE384CD2,-52
2022-10-07 14:07:40.908,C45BBE384CD2,-60
2022-10-07 14:07:29.449,C45BBE384CD2,-61
2022-10-07 14:07:28.387,C45BBE386952,-77
2022-10-07 14:07:19.955,C45BBE384CD2,-57
